年级,学期,学科,课程号,标题,关键词
初二,下,英语,1,Unit 1 Language Learning,English language|Language learning experiences and strategy|Language difficulties|British and American English
初二,下,英语,2,Unit 2 Transportation,Means of transport|History of transport
初二,下,英语,3,Unit 3 Space,The Earth|The Sun|The Moon
初二,下,英语,4,Unit 4 Telling Tales,Fable|Fairy tale|Story
初二,下,英语,5,Unit 5 Hobbies and Interests,Hobbies|Collections and games|Handicrafts and arts|Interests and pastimes
初二,下,英语,6,Unit 6 Sightseeing - A Tour of London,Introduction to London|Scenic spots|Places of historic interest
初二,下,英语,7,Unit 7 Music,Musical instruments|Music|Classical music|Rock and roll
初二,下,英语,8,Unit 8 Emergency,Emergencies|Accidents|Safety rules and warnings
初二,下,英语,9,Unit 9 Keep Fit,Physical fitness and exercise|Healthy diet
初二,下,英语,10,Unit 10 Manners,Social behaviours|Eating customs
