年级,学期,学科,课程号,标题,关键词
初一,上,语文,1,春,朱自清|现代文
初一,上,语文,2,济南的冬天,老舍|现代文
初一,上,语文,3,雨的四季,刘湛秋|现代文
初一,上,语文,4,古代诗歌四首,诗歌
初一,上,语文,5,秋天的怀念,史铁生|现代文
初一,上,语文,6,散步,莫怀戚|现代文
初一,上,语文,7,散文诗二首,诗歌
初一,上,语文,8,《世说新语》二则,说明文
初一,上,语文,9,从百草园到三味书屋,鲁迅|现代文
初一,上,语文,10,往事依依,于漪|现代文
初一,上,语文,11,再塑生命的人,海伦·凯勒|现代文
初一,上,语文,12,《论语》十二章,现代文
初一,上,语文,13,纪念白求恩,毛泽东|现代文
初一,上,语文,14,回忆我的母亲,朱德|现代文
初一,上,语文,15,梅岭三章,陈毅|现代文
初一,上,语文,16,诫子书,诸葛亮|现代文
初一,上,语文,17,猫,郑振铎|现代文
初一,上,语文,18,我的白鸽,陈忠实|现代文
初一,上,语文,19,大雁归来,利奥波德|现代文
初一,上,语文,20,狼,蒲松龄|文言文
初一,上,语文,21,小圣施威降大圣,吴承恩|现代文
初一,上,语文,22,皇帝的新装,安徒生|现代文
初一,上,语文,23,女娲造人,袁珂|现代文
初一,上,语文,24,寓言四则,现代文
