年级,学期,学科,课程号,标题,关键词
初一,下,语文,1,邓稼先,杨振宁|现代文
初一,下,语文,2,说和做,说明文
初一,下,语文,3,列夫·托尔斯泰,茨威格|现代文
初一,下,语文,4,孙权劝学,资治通鉴|文言文
初一,下,语文,5,黄河颂,光未然|现代文
初一,下,语文,6,老山界,陆定一|现代文
初一,下,语文,7,谁是最可爱的人,魏巍|现代文
初一,下,语文,8,土地的誓言,端木蕻良|现代文
初一,下,语文,9,木兰诗,诗歌
初一,下,语文,10,阿长与《山海经》,鲁迅|现代文
初一,下,语文,11,山地回忆,孙犁|现代文
初一,下,语文,12,台阶,李森祥|现代文
初一,下,语文,13,卖油翁,欧阳修|现代文
初一,下,语文,14,驿路梨花,彭荆风|现代文
初一,下,语文,15,青春之光,祝红蕾|现代文
初一,下,语文,16,有为有不为,季羡林|现代文
初一,下,语文,17,短文两篇,现代文
初一,下,语文,18,井冈翠竹,袁鹰|现代文
初一,下,语文,19,紫藤萝瀑布,宗璞|现代文
初一,下,语文,20,外国诗二首,诗歌
初一,下,语文,21,古代诗歌五首,诗歌
初一,下,语文,22,太空一日,杨利伟|现代文
初一,下,语文,23,“ 蛟龙”探海,许晨|现代文
初一,下,语文,24,带上她的眼睛,刘慈欣|现代文
初一,下,语文,25,活板,沈括|现代文
