年级,学期,学科,课程号,标题,关键词
初三,上,语文,1,沁园春·雪,毛泽东|现代文
初三,上,语文,2,周总理，你在哪里,柯岩|现代文
初三,上,语文,3,我爱这土地,艾青|现代文
初三,上,语文,4,乡愁,余光中|现代文
初三,上,语文,5,你是人间的四月天,现代文
初三,上,语文,6,我看,穆旦|现代文
初三,上,语文,7,敬业与乐业,梁启超|文言文
初三,上,语文,8,就英法联军远征中国致巴特勒上尉的信,现代文
初三,上,语文,9,论教养,利哈乔夫|现代文
初三,上,语文,10,精神的三间小屋,毕淑敏|现代文
初三,上,语文,11,岳阳楼记,范仲淹|文言文
初三,上,语文,12,醉翁亭记,欧阳修|记叙文
初三,上,语文,13,湖心亭看雪,张岱|现代文
初三,上,语文,14,诗词三首,诗歌
初三,上,语文,15,故乡,鲁迅|现代文
初三,上,语文,16,我的叔叔于勒,莫泊桑|现代文
初三,上,语文,17,孤独之旅,曹文轩|现代文
初三,上,语文,18,中国人失掉自信力了吗,鲁迅|现代文
初三,上,语文,19,怀疑与学问,顾颉刚|现代文
初三,上,语文,20,谈创造性思维,罗迦·费·因格|现代文
初三,上,语文,21,创造宣言,陶行知|现代文
初三,上,语文,22,智取生辰纲,施耐庵|文言文
初三,上,语文,23,范进中举,吴敬梓|现代文
初三,上,语文,24,三顾茅庐,罗贯中|现代文
初三,上,语文,25,刘姥姥进大观园,曹雪芹|现代文
