年级,学期,学科,课程号,标题,关键词
初三,下,语文,1,祖国啊我亲爱的祖国,舒婷|现代文
初三,下,语文,2,梅岭三章,陈毅|现代文
初三,下,语文,3,短诗五首,诗歌
初三,下,语文,4,海燕,高尔基|现代文
初三,下,语文,5,孔乙己,鲁迅|现代文
初三,下,语文,6,变色龙,契诃夫|现代文
初三,下,语文,7,溜索,阿城|现代文
初三,下,语文,8,蒲柳人家（节选）,刘绍棠|现代文
初三,下,语文,9,鱼我所欲也,孟子|文言文
初三,下,语文,10,唐雎不辱使命,战国策|现代文
初三,下,语文,11,送东阳马生序,宋濂|现代文
初三,下,语文,12,词四首,诗歌
初三,下,语文,13,短文两篇,现代文
初三,下,语文,14,山水画的意境,李可染|现代文
初三,下,语文,15,无言之美,朱光潜|现代文
初三,下,语文,16,驱遣我们的想象,叶圣陶|现代文
初三,下,语文,17,屈原（节选）,郭沫若|现代文
初三,下,语文,18,天下第一楼（节选）,何冀平|现代文
初三,下,语文,19,枣儿,孙鸿|现代文
初三,下,语文,20,曹刿论战,左传|文言文
初三,下,语文,21,邹忌讽齐王纳谏,战国策|现代文
初三,下,语文,22,陈涉世家,司马迁|现代文
初三,下,语文,23,出师表,诸葛亮|现代文
初三,下,语文,24,诗词曲五首,诗歌
