年级,学期,学科,课程号,标题,关键词
初二,上,语文,1,消息二则,毛泽东|现代文
初二,上,语文,2,中国人首次进入自己的空间站,余建斌|现代文
初二,上,语文,3,首届诺贝尔奖颁发,现代文
初二,上,语文,4,“飞天”凌空,现代文
初二,上,语文,5,一着惊海天,现代文
初二,上,语文,6,国行公祭，为佑世界和平,钟声|现代文
初二,上,语文,7,藤野先生,鲁迅|现代文
初二,上,语文,8,回忆鲁迅先生（节选）,萧红|现代文
初二,上,语文,9,天上有颗“南仁东星”,王宏甲|现代文
初二,上,语文,10,美丽的颜色,艾芙·居里|现代文
初二,上,语文,11,三峡,郦道元|现代文
初二,上,语文,12,短文二篇,现代文
初二,上,语文,13,与朱元思书,吴均|现代文
初二,上,语文,14,唐诗五首,诗歌
初二,上,语文,15,背影,朱自清|现代文
初二,上,语文,16,白杨礼赞,茅盾|现代文
初二,上,语文,17,散文二篇,散文
初二,上,语文,18,昆明的雨,汪曾祺|现代文
初二,上,语文,19,中国石拱桥,茅以昇|现代文
初二,上,语文,20,苏州园林,叶圣陶|现代文
初二,上,语文,21,人民英雄永垂不朽,现代文
初二,上,语文,22,梦回繁华,毛宁|现代文
初二,上,语文,23,《孟子》三章,现代文
初二,上,语文,24,愚公移山,列子|文言文
初二,上,语文,25,周亚夫军细柳,司马迁|现代文
初二,上,语文,26,诗词五首,诗歌
