年级,学期,学科,课程号,标题,关键词
初二,下,语文,1,社戏,鲁迅|现代文
初二,下,语文,2,回延安,贺敬之|现代文
初二,下,语文,3,安塞腰鼓,刘成章|现代文
初二,下,语文,4,灯笼,吴伯箫|现代文
初二,下,语文,5,大自然的语言,竺可桢|现代文
初二,下,语文,6,阿西莫夫短文两篇,现代文
初二,下,语文,7,大雁归来,利奥波德|现代文
初二,下,语文,8,时间的脚印,陶世龙|现代文
初二,下,语文,9,桃花源记,陶渊明|文言文
初二,下,语文,10,小石潭记,柳宗元|记叙文
初二,下,语文,11,核舟记,魏学洢|记叙文
初二,下,语文,12,《诗经》二首,诗歌
初二,下,语文,13,最后一次讲演,闻一多|现代文
初二,下,语文,14,应有格物致知精神,丁肇中|现代文
初二,下,语文,15,我一生中的重要抉择,王选|现代文
初二,下,语文,16,庆祝奥林匹克运动复兴25 周年,顾拜旦|现代文
初二,下,语文,17,壶口瀑布,梁衡|现代文
初二,下,语文,18,在长江源头各拉丹冬,马丽华|现代文
初二,下,语文,19,登勃朗峰,马克·吐温|现代文
初二,下,语文,20,一滴水经过丽江,阿来|现代文
初二,下,语文,21,《庄子》二则,庄子|文言文
初二,下,语文,22,《礼记》二则,记叙文
初二,下,语文,23,马说,韩愈|说明文
初二,下,语文,24,唐诗三首,诗歌
